Frame NO., Target Total, Target NO., X(m), Y(m), Z(m), Velocity(m/s), Intensity, Intensity(Log),
75, 5, 2, -0.0762, 2.4414, 0, 0, 185, 23, 
75, 5, 3, 2.0605, 2.3691, 0, 0, 277, 24, 
75, 5, 4, -4.6738, 2.9727, 0, 0, 20, 13, 
75, 5, 5, -0.5195, 5.5156, 0, 0, 20, 13, 
76, 5, 1, 0.5098, 0.8125, 0, 0, 342, 25, 
76, 5, 2, -0.0762, 2.4414, 0, 0, 167, 22, 
76, 5, 3, 2.0605, 2.3691, 0, 0, 279, 24, 
76, 5, 4, 4.3281, 3.459, 0, 0, 20, 13, 
76, 5, 5, -0.5195, 5.5156, 0, 0, 20, 13, 
77, 5, 1, 0.5098, 0.8125, 0, 0, 331, 25, 
77, 5, 2, -0.0762, 2.4414, 0, 0, 141, 22, 
77, 5, 3, 2.0605, 2.3691, 0, 0, 265, 24, 
77, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
77, 5, 5, 4.3281, 3.459, 0, 0, 20, 13, 
78, 5, 1, 0.5098, 0.8125, 0, 0, 336, 25, 
78, 5, 2, -0.1523, 2.4375, 0, 0, 156, 22, 
78, 5, 3, 1.9629, 2.4512, 0, 0, 276, 24, 
78, 5, 4, -0.5195, 5.5156, 0, 0, 21, 13, 
78, 5, 5, 4.3281, 3.459, 0, 0, 21, 13, 
